Ngày,Khu vực,Tổng tin,Tổng views,Views/Tin,Cycle,Heat Score,MFV,MFSI,Cung-Cầu,Giá gap (%),Giá (tr/m²),Cắt lỗ (%),YoY (%)
2026-03-11,Bắc Từ Liêm,946,3784,4.0,39.0,215.0,43.5,48.0,0.8,-1.0,97.2,30.0,15.0
2026-03-11,Gia Lâm,1,3,3.2,59.0,217.0,0.0,51.8,0.64,,0,0,22.0
2026-03-11,Long Biên,1,8,7.5,76.0,372.0,0.1,58.2,1.5,,0,0,28.0
2026-03-11,Hoài Đức,625,5625,9.0,79.0,502.0,75.4,71.2,1.8,-20.3,78.2,4.35,34.0
2026-03-11,Đống Đa,548,1206,2.2,25.0,122.0,13.0,45.3,0.44,-8.2,90.1,13.33,7.5
2026-03-11,Hai Bà Trưng,1,4,4.2,51.0,207.0,0.0,53.3,0.84,,0,0,8.0
2026-03-11,Ba Đình,279,976,3.5,30.0,158.0,10.4,22.2,0.7,63.9,160.9,12.5,6.0
2026-03-11,Đông Anh,1,14,14.1,91,533.0,0.2,62,2.82,,0,0,32.5
2026-03-11,Đan Phượng,74,207,2.8,48.0,268.0,3.1,56.7,0.56,-25.3,73.3,9.52,50.0
2026-03-11,Thanh Trì,413,4213,10.2,73,532.0,60.7,67,2.04,-19.0,79.5,12.5,44.1
